id,name,link,organisation,maintainer,subjects,type
1,"NFDI4Objects","https://github.com/nfdi4objects/","NFDI4Objects","Fabian Fricke, Jacob Voß, Florian Thiery","NFDI, ...","N4O Core"
2,"NFDI4Objects","https://gitlab.rlp.net/n4o","HS Mainz","Kai-Christian Bruhn, ...","Website, OER","N4O Core"
3,"NFDI4Objects | Research Software Engineering Projects","https://github.com/n4o-rse/","CC RSE NFDI4Objects","Florian Thiery, Lutz Schubert","RDM, Computing Archaeology","N4O Community"
4,"Deutsches Archäologisches Institut","https://github.com/dainst","DAI","Ducke et al.","...","Organisation"
5,"Gemeinsamer Bibliotheksverbund","https://github.com/gbv","GBV/VZG","Dührkohp et al.","...","Organisation"
6,"Leibniz-Zentrum für Archäologie | Department Scientific IT | Research Software Engineering","https://github.com/leiza-rse","LEIZA","Mees et al.","archaeology","Organisation"
7,"Leibniz-Zentrum für Archäologie","https://github.com/leiza-scit","LEIZA","Mees et al.","archaeology","Organisation"
8,"Leibniz-Zentrum für Archäologie (LEIZA)","https://github.com/rgzm","LEIZA","Mees et al.","...","Organisation"
9,"Research Squirrel Engineers ","https://github.com/Research-Squirrel-Engineers/","Research Squirrels","Thiery et al.","archaeology, geology","Community"
10,"The SPARQL Unicorn","https://github.com/sparqlunicorn/","Research Squirrels","Thiery et al.","QGIS, Wikidata","Community"
11,"Linked Open Ogham","https://github.com/LinkedOpenOgham","Research Squirrels","Thiery et al.","Ogham","Community"
12,"archaeonatural.cloud","https://github.com/archaeonatural-cloud/","CAU Kiel","thor Straten, Thiery","TA3","N4O Community"
